"TIME","GEO","UNIT","S_ADJ","NA_ITEM","SECTOR","Value","Flag and Footnotes"
"2002Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","5.74",""
"2002Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","13.79",""
"2002Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,145.91",""
"2002Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.21",""
"2002Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","12.07",""
"2002Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","21.78",""
"2002Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.02",""
"2002Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","914.56",""
"2002Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.87",""
"2002Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.71",""
"2002Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","7.89",""
"2002Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.44",""
"2002Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,045.41",""
"2002Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","10.51",""
"2002Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","12.50",""
"2002Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","7.41",""
"2002Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.51",""
"2002Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,074.72",""
"2002Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.30",""
"2002Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.26",""
"2002Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2003Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2003Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2003Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2003Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","4.17",""
"2003Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","14.09",""
